row	col	cor	p	abs
Veillonella_dispar	Pseudescherichia_vulneris	0.114669	0.0	0.114669
Enterobacter_cloacae	Pseudescherichia_vulneris	0.128084	0.0	0.128084
Pseudoxanthomonas_mexicana	Pseudescherichia_vulneris	0.17045	0.0	0.17045
Odoribacter_laneus	Pseudescherichia_vulneris	0.155984	0.0	0.155984
Pradoshia_eiseniae	Pseudescherichia_vulneris	0.196141	0.0	0.196141
Flavonifractor_plautii	Pseudescherichia_vulneris	0.121741	0.024	0.121741
Ruminococcus_gnavus	Pseudescherichia_vulneris	0.230356	0.0	0.230356
Enterocloster_bolteae	Pseudescherichia_vulneris	0.238281	0.0	0.238281
Marseillibacter_massiliensis	Pseudescherichia_vulneris	-0.188356	0.0	0.188356
Clostridium_indicum	Pseudescherichia_vulneris	0.160311	0.0	0.160311
Corynebacterium_xerosis	Pseudescherichia_vulneris	0.147941	0.0	0.147941
Alistipes_shahii	Pseudescherichia_vulneris	-0.173385	0.0	0.173385
Stenotrophomonas_geniculata	Pseudescherichia_vulneris	0.155351	0.0	0.155351
Papillibacter_cinnamivorans	Pseudescherichia_vulneris	-0.118364	0.0	0.118364
Delftia_tsuruhatensis	Pseudescherichia_vulneris	0.104166	0.024	0.104166
Comamonas_kerstersii	Pseudescherichia_vulneris	0.122191	0.025	0.122191
Bacteroides_uniformis	Phocaeicola_vulgatus	0.189914	0.0	0.189914
Phocaeicola_dorei	Phocaeicola_vulgatus	-0.595062	0.0	0.595062
Phocaeicola_massiliensis	Phocaeicola_vulgatus	0.123412	0.0	0.123412
Bacteroides_fragilis	Phocaeicola_vulgatus	-0.106933	0.012	0.106933
Bacteroides_timonensis	Phocaeicola_vulgatus	-0.105072	0.0	0.105072
Blautia_caecimuris	Phocaeicola_vulgatus	-0.108578	0.024	0.108578
Alistipes_shahii	Phocaeicola_vulgatus	0.11679	0.0	0.11679
Bilophila_wadsworthia	Phocaeicola_vulgatus	0.103707	0.0	0.103707
Bacteroides_uniformis	Phascolarctobacterium_faecium	-0.108848	0.012	0.108848
Kosakonia_quasisacchari	Phascolarctobacterium_faecium	0.116218	0.0	0.116218
Parabacteroides_distasonis	Phascolarctobacterium_faecium	0.185594	0.0	0.185594
Streptococcus_thermophilus	Phascolarctobacterium_faecium	0.13261	0.012	0.13261
Bacteroides_fragilis	Phascolarctobacterium_faecium	-0.10203	0.012	0.10203
Acidaminococcus_intestini	Phascolarctobacterium_faecium	0.16472	0.0	0.16472
Methanobrevibacter_smithii	Phascolarctobacterium_faecium	0.102755	0.012	0.102755
Cloacibacillus_evryensis	Phascolarctobacterium_faecium	0.155486	0.0	0.155486
Dialister_invisus	Phascolarctobacterium_faecium	-0.144823	0.0	0.144823
Bifidobacterium_longum	Phascolarctobacterium_faecium	0.102419	0.048	0.102419
Odoribacter_splanchnicus	Phascolarctobacterium_faecium	0.254691	0.0	0.254691
Enterococcus_innesii	Phascolarctobacterium_faecium	0.114096	0.012	0.114096
Blautia_caecimuris	Phascolarctobacterium_faecium	0.125524	0.0	0.125524
Megasphaera_massiliensis	Phascolarctobacterium_faecium	0.150151	0.0	0.150151
Solibaculum_mannosilyticum	Phascolarctobacterium_faecium	0.225092	0.0	0.225092
Romboutsia_timonensis	Phascolarctobacterium_faecium	0.134862	0.0	0.134862
Intestinimonas_timonensis	Phascolarctobacterium_faecium	0.130922	0.0	0.130922
Roseburia_inulinivorans	Phascolarctobacterium_faecium	-0.148349	0.0	0.148349
Corynebacterium_xerosis	Phascolarctobacterium_faecium	0.102878	0.012	0.102878
Collinsella_aerofaciens	Phascolarctobacterium_faecium	0.139123	0.0	0.139123
Clostridium_porci	Phascolarctobacterium_faecium	-0.1089	0.012	0.1089
Phascolarctobacterium_succinatutens	Phascolarctobacterium_faecium	-0.137369	0.0	0.137369
Marasmitruncus_massiliensis	Phascolarctobacterium_faecium	-0.111565	0.0	0.111565
Sporobacter_termitidis	Phascolarctobacterium_faecium	-0.14405	0.0	0.14405
Coprococcus_eutactus	Phascolarctobacterium_faecium	-0.106619	0.0	0.106619
Holdemanella_porci	Phascolarctobacterium_faecium	-0.12693	0.0	0.12693
Metalysinibacillus_jejuensis	Phascolarctobacterium_faecium	-0.179577	0.0	0.179577
Vescimonas_coprocola	Bacteroides_uniformis	0.145972	0.0	0.145972
Bacteroides_zhangwenhongii	Bacteroides_uniformis	0.161599	0.0	0.161599
Eubacterium_rectale	Bacteroides_uniformis	0.190654	0.0	0.190654
Ruminococcus_bromii	Bacteroides_uniformis	0.106495	0.024	0.106495
Alistipes_putredinis	Bacteroides_uniformis	0.11182	0.0	0.11182
Parabacteroides_merdae	Bacteroides_uniformis	0.130414	0.0	0.130414
Citrobacter_cronae	Bacteroides_uniformis	-0.124731	0.0	0.124731
Streptococcus_thermophilus	Bacteroides_uniformis	-0.107505	0.0	0.107505
Bacteroides_fragilis	Bacteroides_uniformis	-0.130306	0.0	0.130306
Dysosmobacter_welbionis	Bacteroides_uniformis	0.112715	0.0	0.112715
Ruminococcus_champanellensis	Bacteroides_uniformis	0.106218	0.024	0.106218
Bifidobacterium_longum	Bacteroides_uniformis	-0.145088	0.0	0.145088
Morganella_morganii	Bacteroides_uniformis	-0.116191	0.0	0.116191
Enterococcus_innesii	Bacteroides_uniformis	-0.19016	0.0	0.19016
Prevotella_copri	Bacteroides_uniformis	-0.136862	0.0	0.136862
Veillonella_dispar	Bacteroides_uniformis	-0.150898	0.0	0.150898
Enterobacter_cloacae	Bacteroides_uniformis	-0.128567	0.0	0.128567
Parasutterella_excrementihominis	Bacteroides_uniformis	0.140254	0.0	0.140254
Pseudoxanthomonas_mexicana	Bacteroides_uniformis	-0.109499	0.0	0.109499
Pradoshia_eiseniae	Bacteroides_uniformis	-0.118652	0.0	0.118652
Coprococcus_phoceensis	Bacteroides_uniformis	-0.118019	0.0	0.118019
Romboutsia_timonensis	Bacteroides_uniformis	-0.144995	0.0	0.144995
Ruminococcus_gnavus	Bacteroides_uniformis	-0.122012	0.0	0.122012
Roseburia_inulinivorans	Bacteroides_uniformis	0.108574	0.012	0.108574
Alistipes_shahii	Bacteroides_uniformis	0.106958	0.0	0.106958
Collinsella_aerofaciens	Bacteroides_uniformis	-0.143247	0.0	0.143247
Alistipes_megaguti	Bacteroides_uniformis	-0.113771	0.0	0.113771
Phocaeicola_coprocola	Bacteroides_uniformis	-0.112458	0.012	0.112458
Bacteroides_humanifaecis	Bacteroides_uniformis	-0.187009	0.0	0.187009
Bacteroides_zhangwenhongii	Pseudomonas_mangiferae	0.102623	0.012	0.102623
Citrobacter_cronae	Pseudomonas_mangiferae	0.129804	0.0	0.129804
Anaerostipes_hadrus	Pseudomonas_mangiferae	-0.128816	0.012	0.128816
Flintibacter_butyricus	Pseudomonas_mangiferae	-0.10466	0.0	0.10466
Pseudomonas_schmalbachii	Pseudomonas_mangiferae	0.103111	0.0	0.103111
Vescimonas_coprocola	Kosakonia_quasisacchari	-0.112958	0.0	0.112958
Alistipes_onderdonkii	Kosakonia_quasisacchari	-0.110758	0.012	0.110758
Streptococcus_thermophilus	Kosakonia_quasisacchari	0.126362	0.0	0.126362
Acidaminococcus_intestini	Kosakonia_quasisacchari	0.145274	0.0	0.145274
Barnesiella_intestinihominis	Kosakonia_quasisacchari	-0.167517	0.0	0.167517
Morganella_morganii	Kosakonia_quasisacchari	0.109596	0.0	0.109596
Enterococcus_innesii	Kosakonia_quasisacchari	0.133623	0.0	0.133623
Guopingia_tenuis	Kosakonia_quasisacchari	-0.113287	0.0	0.113287
Alistipes_shahii	Kosakonia_quasisacchari	-0.113257	0.0	0.113257
Lactobacillus_rogosae	Kosakonia_quasisacchari	0.104044	0.0	0.104044
Anaerobutyricum_hallii	Kosakonia_quasisacchari	0.117776	0.0	0.117776
Sporobacter_termitidis	Kosakonia_quasisacchari	-0.10511	0.0	0.10511
Papillibacter_cinnamivorans	Kosakonia_quasisacchari	-0.107017	0.012	0.107017
Akkermansia_muciniphila	Phocaeicola_dorei	0.134261	0.0	0.134261
Parabacteroides_distasonis	Phocaeicola_dorei	0.123567	0.012	0.123567
Parasutterella_excrementihominis	Phocaeicola_dorei	0.121452	0.0	0.121452
Romboutsia_timonensis	Phocaeicola_dorei	-0.129048	0.0	0.129048
Dorea_longicatena	Phocaeicola_dorei	-0.124689	0.0	0.124689
Mediterraneibacter_faecis	Phocaeicola_dorei	-0.105068	0.0	0.105068
Vescimonas_coprocola	Faecalibacterium_prausnitzii	0.389957	0.0	0.389957
Faecalibacterium_duncaniae	Faecalibacterium_prausnitzii	0.323989	0.0	0.323989
Proteus_mirabilis	Faecalibacterium_prausnitzii	-0.178215	0.0	0.178215
Phocaeicola_massiliensis	Faecalibacterium_prausnitzii	0.13773	0.012	0.13773
Eubacterium_rectale	Faecalibacterium_prausnitzii	0.182223	0.0	0.182223
Ruminococcus_bromii	Faecalibacterium_prausnitzii	0.132349	0.0	0.132349
Alistipes_putredinis	Faecalibacterium_prausnitzii	0.1288	0.0	0.1288
Citrobacter_cronae	Faecalibacterium_prausnitzii	-0.128575	0.0	0.128575
Bacteroides_intestinalis	Faecalibacterium_prausnitzii	-0.109041	0.012	0.109041
Gemmiger_formicilis	Faecalibacterium_prausnitzii	0.228838	0.0	0.228838
Bacteroides_ovatus	Faecalibacterium_prausnitzii	-0.147907	0.0	0.147907
Eubacterium_siraeum	Faecalibacterium_prausnitzii	0.149244	0.0	0.149244
Dysosmobacter_welbionis	Faecalibacterium_prausnitzii	-0.123763	0.0	0.123763
Ruminococcus_champanellensis	Faecalibacterium_prausnitzii	0.165191	0.0	0.165191
Blautia_faecis	Faecalibacterium_prausnitzii	0.189626	0.0	0.189626
Vescimonas_fastidiosa	Faecalibacterium_prausnitzii	0.242336	0.0	0.242336
Cloacibacillus_evryensis	Faecalibacterium_prausnitzii	-0.152147	0.0	0.152147
Fusicatenibacter_saccharivorans	Faecalibacterium_prausnitzii	0.279063	0.0	0.279063
Bifidobacterium_longum	Faecalibacterium_prausnitzii	-0.143894	0.0	0.143894
Morganella_morganii	Faecalibacterium_prausnitzii	-0.19238	0.0	0.19238
Waltera_intestinalis	Faecalibacterium_prausnitzii	0.116141	0.0	0.116141
Lachnospira_eligens	Faecalibacterium_prausnitzii	0.336452	0.0	0.336452
Bifidobacterium_miconisargentati	Faecalibacterium_prausnitzii	-0.10561	0.0	0.10561
Eubacterium_coprostanoligenes	Faecalibacterium_prausnitzii	0.154242	0.0	0.154242
Citrobacter_telavivensis	Faecalibacterium_prausnitzii	-0.186508	0.0	0.186508
Blautia_caecimuris	Faecalibacterium_prausnitzii	-0.256501	0.0	0.256501
Veillonella_dispar	Faecalibacterium_prausnitzii	-0.111278	0.0	0.111278
Pseudoxanthomonas_mexicana	Faecalibacterium_prausnitzii	-0.1153	0.0	0.1153
Ruthenibacterium_lactatiformans	Faecalibacterium_prausnitzii	-0.215138	0.0	0.215138
Flavonifractor_plautii	Faecalibacterium_prausnitzii	-0.245594	0.0	0.245594
Solibaculum_mannosilyticum	Faecalibacterium_prausnitzii	-0.189612	0.0	0.189612
Coprococcus_phoceensis	Faecalibacterium_prausnitzii	-0.146566	0.0	0.146566
Ruminococcus_gnavus	Faecalibacterium_prausnitzii	-0.25373	0.0	0.25373
Guopingia_tenuis	Faecalibacterium_prausnitzii	0.144328	0.0	0.144328
Enterocloster_bolteae	Faecalibacterium_prausnitzii	-0.235781	0.0	0.235781
Roseburia_inulinivorans	Faecalibacterium_prausnitzii	0.105126	0.0	0.105126
Marseillibacter_massiliensis	Faecalibacterium_prausnitzii	0.188822	0.0	0.188822
Alistipes_shahii	Faecalibacterium_prausnitzii	0.183053	0.0	0.183053
Acutalibacter_muris	Faecalibacterium_prausnitzii	0.133348	0.0	0.133348
Dorea_longicatena	Faecalibacterium_prausnitzii	0.147097	0.0	0.147097
Pseudomonas_schmalbachii	Faecalibacterium_prausnitzii	-0.107631	0.012	0.107631
Lactobacillus_rogosae	Faecalibacterium_prausnitzii	0.125078	0.0	0.125078
Ruminiclostridium_cellobioparum	Faecalibacterium_prausnitzii	0.124903	0.0	0.124903
Fournierella_massiliensis	Faecalibacterium_prausnitzii	-0.103596	0.0	0.103596
Stenotrophomonas_geniculata	Faecalibacterium_prausnitzii	-0.133539	0.0	0.133539
Frisingicoccus_caecimuris	Faecalibacterium_prausnitzii	-0.117986	0.0	0.117986
Coprococcus_eutactus	Faecalibacterium_prausnitzii	0.109592	0.012	0.109592
Faecalibacterium_duncaniae	Vescimonas_coprocola	0.202631	0.0	0.202631
Bacteroides_stercoris	Vescimonas_coprocola	-0.103749	0.0	0.103749
Proteus_mirabilis	Vescimonas_coprocola	-0.187457	0.0	0.187457
Akkermansia_muciniphila	Vescimonas_coprocola	0.175111	0.0	0.175111
Ruminococcus_bromii	Vescimonas_coprocola	0.190484	0.0	0.190484
Alistipes_onderdonkii	Vescimonas_coprocola	0.151539	0.0	0.151539
Alistipes_putredinis	Vescimonas_coprocola	0.133169	0.0	0.133169
Bacteroides_kribbi	Vescimonas_coprocola	-0.121976	0.0	0.121976
Streptococcus_thermophilus	Vescimonas_coprocola	-0.119998	0.0	0.119998
Gemmiger_formicilis	Vescimonas_coprocola	0.26715	0.0	0.26715
Pseudomonas_paraversuta	Vescimonas_coprocola	-0.104513	0.012	0.104513
Blautia_provencensis	Vescimonas_coprocola	-0.107418	0.012	0.107418
Bacteroides_ovatus	Vescimonas_coprocola	-0.206868	0.0	0.206868
Barnesiella_intestinihominis	Vescimonas_coprocola	0.221814	0.0	0.221814
Eubacterium_siraeum	Vescimonas_coprocola	0.234812	0.0	0.234812
Methanobrevibacter_smithii	Vescimonas_coprocola	0.232311	0.0	0.232311
Ruminococcus_champanellensis	Vescimonas_coprocola	0.293186	0.0	0.293186
Blautia_faecis	Vescimonas_coprocola	0.144262	0.012	0.144262
Vescimonas_fastidiosa	Vescimonas_coprocola	0.309557	0.0	0.309557
Fusicatenibacter_saccharivorans	Vescimonas_coprocola	0.13691	0.0	0.13691
Congzhengia_minquanensis	Vescimonas_coprocola	0.193033	0.0	0.193033
Bifidobacterium_longum	Vescimonas_coprocola	-0.14844	0.0	0.14844
Morganella_morganii	Vescimonas_coprocola	-0.178605	0.0	0.178605
Waltera_intestinalis	Vescimonas_coprocola	0.183166	0.0	0.183166
Lachnospira_eligens	Vescimonas_coprocola	0.230852	0.0	0.230852
Bifidobacterium_miconisargentati	Vescimonas_coprocola	-0.180513	0.0	0.180513
Eubacterium_coprostanoligenes	Vescimonas_coprocola	0.260538	0.0	0.260538
Enterococcus_innesii	Vescimonas_coprocola	-0.198836	0.0	0.198836
Citrobacter_telavivensis	Vescimonas_coprocola	-0.113143	0.0	0.113143
Blautia_caecimuris	Vescimonas_coprocola	-0.266333	0.0	0.266333
Veillonella_dispar	Vescimonas_coprocola	-0.195219	0.0	0.195219
Megasphaera_massiliensis	Vescimonas_coprocola	-0.143623	0.0	0.143623
Flavonifractor_plautii	Vescimonas_coprocola	-0.2249	0.0	0.2249
Solibaculum_mannosilyticum	Vescimonas_coprocola	-0.13058	0.0	0.13058
Romboutsia_timonensis	Vescimonas_coprocola	-0.104712	0.0	0.104712
Ruminococcus_gnavus	Vescimonas_coprocola	-0.302032	0.0	0.302032
Guopingia_tenuis	Vescimonas_coprocola	0.251317	0.0	0.251317
Intestinimonas_timonensis	Vescimonas_coprocola	0.170011	0.0	0.170011
Enterocloster_bolteae	Vescimonas_coprocola	-0.26967	0.0	0.26967
Marseillibacter_massiliensis	Vescimonas_coprocola	0.329033	0.0	0.329033
Clostridium_indicum	Vescimonas_coprocola	-0.220583	0.0	0.220583
Alistipes_shahii	Vescimonas_coprocola	0.199012	0.0	0.199012
Acutalibacter_muris	Vescimonas_coprocola	0.174135	0.0	0.174135
Marasmitruncus_massiliensis	Vescimonas_coprocola	0.121023	0.012	0.121023
Ruminiclostridium_cellobioparum	Vescimonas_coprocola	0.142506	0.0	0.142506
Gehongia_tenuis	Vescimonas_coprocola	0.188885	0.0	0.188885
Sporobacter_termitidis	Vescimonas_coprocola	0.305205	0.0	0.305205
Papillibacter_cinnamivorans	Vescimonas_coprocola	0.186227	0.0	0.186227
Coprococcus_eutactus	Vescimonas_coprocola	0.164346	0.0	0.164346
Metalysinibacillus_jejuensis	Vescimonas_coprocola	0.102682	0.0	0.102682
Proteus_mirabilis	Faecalibacterium_duncaniae	-0.160625	0.0	0.160625
Akkermansia_muciniphila	Faecalibacterium_duncaniae	-0.102809	0.0	0.102809
Parabacteroides_distasonis	Faecalibacterium_duncaniae	-0.112869	0.013	0.112869
Eubacterium_rectale	Faecalibacterium_duncaniae	0.284125	0.0	0.284125
Citrobacter_cronae	Faecalibacterium_duncaniae	-0.139045	0.0	0.139045
Gemmiger_formicilis	Faecalibacterium_duncaniae	0.246197	0.0	0.246197
Ruminococcus_torques	Faecalibacterium_duncaniae	-0.156136	0.0	0.156136
Blautia_provencensis	Faecalibacterium_duncaniae	0.204036	0.0	0.204036
Dysosmobacter_welbionis	Faecalibacterium_duncaniae	-0.134596	0.0	0.134596
Faecalibacterium_longum	Faecalibacterium_duncaniae	0.175777	0.0	0.175777
Ruminococcus_champanellensis	Faecalibacterium_duncaniae	0.105162	0.0	0.105162
Blautia_faecis	Faecalibacterium_duncaniae	0.127439	0.0	0.127439
Cloacibacillus_evryensis	Faecalibacterium_duncaniae	-0.21852	0.0	0.21852
Fusicatenibacter_saccharivorans	Faecalibacterium_duncaniae	0.308116	0.0	0.308116
Bifidobacterium_longum	Faecalibacterium_duncaniae	-0.107235	0.0	0.107235
Morganella_morganii	Faecalibacterium_duncaniae	-0.13899	0.0	0.13899
Anaerostipes_hadrus	Faecalibacterium_duncaniae	0.160103	0.0	0.160103
Waltera_intestinalis	Faecalibacterium_duncaniae	0.159328	0.0	0.159328
Lachnospira_eligens	Faecalibacterium_duncaniae	0.291137	0.0	0.291137
Enterococcus_innesii	Faecalibacterium_duncaniae	-0.151991	0.0	0.151991
Citrobacter_telavivensis	Faecalibacterium_duncaniae	-0.124597	0.0	0.124597
Blautia_caecimuris	Faecalibacterium_duncaniae	-0.26425	0.0	0.26425
Pseudoxanthomonas_mexicana	Faecalibacterium_duncaniae	-0.121742	0.0	0.121742
Ruthenibacterium_lactatiformans	Faecalibacterium_duncaniae	-0.255856	0.0	0.255856
Odoribacter_laneus	Faecalibacterium_duncaniae	-0.120122	0.0	0.120122
Solibaculum_mannosilyticum	Faecalibacterium_duncaniae	-0.142581	0.0	0.142581
Coprococcus_phoceensis	Faecalibacterium_duncaniae	-0.15268	0.0	0.15268
Ruminococcus_gnavus	Faecalibacterium_duncaniae	-0.24044	0.0	0.24044
Intestinimonas_timonensis	Faecalibacterium_duncaniae	-0.109664	0.0	0.109664
Enterocloster_bolteae	Faecalibacterium_duncaniae	-0.238459	0.0	0.238459
Lachnoclostridium_edouardi	Faecalibacterium_duncaniae	0.245736	0.0	0.245736
Roseburia_inulinivorans	Faecalibacterium_duncaniae	0.208766	0.0	0.208766
Marseillibacter_massiliensis	Faecalibacterium_duncaniae	0.176726	0.0	0.176726
Dorea_longicatena	Faecalibacterium_duncaniae	0.14511	0.0	0.14511
Pseudomonas_schmalbachii	Faecalibacterium_duncaniae	-0.108776	0.0	0.108776
Lactobacillus_rogosae	Faecalibacterium_duncaniae	0.139406	0.0	0.139406
Roseburia_intestinalis	Faecalibacterium_duncaniae	0.164691	0.0	0.164691
Fournierella_massiliensis	Faecalibacterium_duncaniae	-0.118413	0.0	0.118413
Stenotrophomonas_geniculata	Faecalibacterium_duncaniae	-0.11095	0.0	0.11095
Frisingicoccus_caecimuris	Faecalibacterium_duncaniae	-0.149934	0.0	0.149934
Phocaeicola_massiliensis	Bacteroides_stercoris	0.17689	0.0	0.17689
Alistipes_putredinis	Bacteroides_stercoris	0.107793	0.012	0.107793
Parabacteroides_merdae	Bacteroides_stercoris	0.103896	0.012	0.103896
Bacteroides_fragilis	Bacteroides_stercoris	-0.11328	0.0	0.11328
Bacteroides_timonensis	Bacteroides_stercoris	-0.166406	0.0	0.166406
Vescimonas_fastidiosa	Bacteroides_stercoris	-0.112748	0.0	0.112748
Bifidobacterium_miconisargentati	Bacteroides_stercoris	0.141121	0.0	0.141121
Guopingia_tenuis	Bacteroides_stercoris	-0.112173	0.0	0.112173
Blautia_obeum	Bacteroides_stercoris	-0.114043	0.0	0.114043
Gehongia_tenuis	Bacteroides_stercoris	-0.105994	0.0	0.105994
Citrobacter_cronae	Proteus_mirabilis	0.129217	0.012	0.129217
Bacteroides_xylanisolvens	Proteus_mirabilis	0.119513	0.0	0.119513
Gemmiger_formicilis	Proteus_mirabilis	-0.126007	0.0	0.126007
Bacteroides_ovatus	Proteus_mirabilis	0.13437	0.024	0.13437
Vescimonas_fastidiosa	Proteus_mirabilis	-0.104979	0.0	0.104979
Bifidobacterium_longum	Proteus_mirabilis	0.119134	0.0	0.119134
Morganella_morganii	Proteus_mirabilis	0.201519	0.0	0.201519
Lachnospira_eligens	Proteus_mirabilis	-0.15827	0.0	0.15827
Bifidobacterium_miconisargentati	Proteus_mirabilis	0.159201	0.0	0.159201
Enterococcus_innesii	Proteus_mirabilis	0.205173	0.0	0.205173
Citrobacter_telavivensis	Proteus_mirabilis	0.201918	0.0	0.201918
Blautia_caecimuris	Proteus_mirabilis	0.13254	0.0	0.13254
Veillonella_dispar	Proteus_mirabilis	0.232916	0.0	0.232916
Enterobacter_cloacae	Proteus_mirabilis	0.125902	0.048	0.125902
Ruthenibacterium_lactatiformans	Proteus_mirabilis	0.153718	0.0	0.153718
Flavonifractor_plautii	Proteus_mirabilis	0.183174	0.0	0.183174
Ruminococcus_gnavus	Proteus_mirabilis	0.240059	0.0	0.240059
Enterocloster_bolteae	Proteus_mirabilis	0.126357	0.012	0.126357
Marseillibacter_massiliensis	Proteus_mirabilis	-0.11499	0.0	0.11499
Sporobacter_termitidis	Proteus_mirabilis	-0.101405	0.0	0.101405
Parabacteroides_distasonis	Bacteroides_caccae	0.119868	0.0	0.119868
Alistipes_putredinis	Bacteroides_caccae	0.187476	0.0	0.187476
Parabacteroides_merdae	Bacteroides_caccae	0.155802	0.0	0.155802
Ruminococcus_torques	Bacteroides_caccae	0.120768	0.0	0.120768
Blautia_provencensis	Bacteroides_caccae	-0.102466	0.036	0.102466
Barnesiella_intestinihominis	Bacteroides_caccae	0.178458	0.0	0.178458
Fusicatenibacter_saccharivorans	Bacteroides_caccae	-0.117561	0.0	0.117561
Anaerostipes_hadrus	Bacteroides_caccae	-0.100279	0.0	0.100279
Odoribacter_splanchnicus	Bacteroides_caccae	0.144456	0.0	0.144456
Blautia_luti	Bacteroides_caccae	-0.106497	0.0	0.106497
Ruthenibacterium_lactatiformans	Bacteroides_caccae	0.153991	0.0	0.153991
Pradoshia_eiseniae	Bacteroides_caccae	-0.101307	0.012	0.101307
Coprococcus_phoceensis	Bacteroides_caccae	0.100934	0.036	0.100934
Lachnoclostridium_edouardi	Bacteroides_caccae	-0.109135	0.0	0.109135
Frisingicoccus_caecimuris	Bacteroides_caccae	0.147512	0.0	0.147512
Parabacteroides_distasonis	Bacteroides_zhangwenhongii	0.189043	0.0	0.189043
Alistipes_putredinis	Bacteroides_zhangwenhongii	0.118021	0.024	0.118021
Bacteroides_timonensis	Bacteroides_zhangwenhongii	0.134674	0.012	0.134674
Blautia_luti	Bacteroides_zhangwenhongii	-0.110674	0.0	0.110674
Enterococcus_innesii	Bacteroides_zhangwenhongii	-0.101078	0.0	0.101078
Prevotella_copri	Bacteroides_zhangwenhongii	-0.11872	0.0	0.11872
Parasutterella_excrementihominis	Bacteroides_zhangwenhongii	0.115369	0.024	0.115369
Coprococcus_phoceensis	Bacteroides_zhangwenhongii	0.103629	0.012	0.103629
Romboutsia_timonensis	Bacteroides_zhangwenhongii	-0.114073	0.0	0.114073
Clostridium_indicum	Bacteroides_zhangwenhongii	-0.116407	0.0	0.116407
Collinsella_aerofaciens	Bacteroides_zhangwenhongii	-0.118317	0.0	0.118317
Anaerobutyricum_hallii	Bacteroides_zhangwenhongii	-0.102408	0.0	0.102408
Holdemanella_porci	Bacteroides_zhangwenhongii	-0.102337	0.0	0.102337
Alistipes_onderdonkii	Akkermansia_muciniphila	0.176782	0.0	0.176782
Alistipes_putredinis	Akkermansia_muciniphila	0.148432	0.012	0.148432
Bacteroides_xylanisolvens	Akkermansia_muciniphila	-0.129583	0.0	0.129583
Bacteroides_timonensis	Akkermansia_muciniphila	0.11189	0.0	0.11189
Blautia_provencensis	Akkermansia_muciniphila	-0.121304	0.0	0.121304
Barnesiella_intestinihominis	Akkermansia_muciniphila	0.102145	0.012	0.102145
Fusicatenibacter_saccharivorans	Akkermansia_muciniphila	-0.111886	0.036	0.111886
Odoribacter_splanchnicus	Akkermansia_muciniphila	-0.116395	0.0	0.116395
Eubacterium_coprostanoligenes	Akkermansia_muciniphila	0.103679	0.012	0.103679
Veillonella_dispar	Akkermansia_muciniphila	-0.114786	0.0	0.114786
Ruthenibacterium_lactatiformans	Akkermansia_muciniphila	0.189666	0.0	0.189666
Guopingia_tenuis	Akkermansia_muciniphila	0.134903	0.0	0.134903
Intestinimonas_timonensis	Akkermansia_muciniphila	0.137162	0.0	0.137162
