	mean	cag_group
Bacteroides_cellulosilyticus	0.143480967	CAG5
Vallitalea_pronyensis	0.262120965	CAG2
Barnesiella_intestinihominis	0.876675437	CAG4
Ruminococcus_gnavus	0.151599189	CAG3
Ruthenibacterium_lactatiformans	0.246751533	CAG4
Mediterraneibacter_faecis	0.279159004	CAG7
Alistipes_communis	0.266575975	CAG4
Kosakonia_quasisacchari	0.388248038	CAG3
Clostridium_porci	0.226784458	CAG4
Clostridium_leptum	0.166915659	CAG5
Bacteroides_uniformis	2.144950675	CAG2
Bacteroides_stercoris	0.439334633	CAG3
Roseburia_inulinivorans	0.520353199	CAG3
Blautia_luti	1.008874403	CAG6
Alistipes_senegalensis	0.208644976	CAG4
Anaerocolumna_jejuensis	0.284261302	CAG3
Bacteroides_timonensis	0.211056808	CAG2
Intestinimonas_massiliensis	1.163193038	CAG1
Bacteroides_zhangwenhongii	0.232036554	CAG2
Dysosmobacter_welbionis	0.355643103	CAG4
Alkalibaculum_bacchi	0.911688834	CAG1
Duodenibacillus_massiliensis	0.126307177	CAG4
Prevotella_marseillensis	0.280602347	CAG4
Prevotella_rara	0.138202504	CAG4
Bifidobacterium_adolescentis	1.107775101	CAG4
Holdemanella_biformis	0.146001996	CAG8
Citrobacter_cronae	0.154019142	CAG3
Ruminococcus_champanellensis	1.275355122	CAG2
Faecalibacterium_butyricigenerans	2.582337593	CAG1
Faecalibacterium_duncaniae	1.678335958	CAG2
Megasphaera_massiliensis	0.158876698	CAG3
Dialister_invisus	0.610454727	CAG5
Anaerobutyricum_soehngenii	0.235986102	CAG7
Vescimonas_coprocola	3.256616245	CAG2
Clostridium_saudiense	0.683187921	CAG6
Guopingia_tenuis	0.6069213	CAG4
Bifidobacterium_longum	0.598170591	CAG4
Ruminococcus_lactaris	0.128800164	CAG7
Kineothrix_alysoides	0.403617467	CAG1
Massiliprevotella_massiliensis	0.156575281	CAG3
Salimesophilobacter_vulgaris	0.285593973	CAG8
Lacticaseibacillus_casei	0.186174	CAG6
Bacteroides_fragilis	0.231255484	CAG4
Parabacteroides_merdae	0.790179526	CAG2
Alistipes_finegoldii	0.248325575	CAG4
Bacteroides_eggerthii	0.282430758	CAG3
Ruminococcoides_bili	0.883412464	CAG8
Lachnobacterium_bovis	0.196410513	CAG2
Acutalibacter_muris	0.343706767	CAG2
Ruminococcus_torques	0.252062387	CAG4
Roseburia_faecis	0.690728333	CAG3
Phocaeicola_vulgatus	3.26932229	CAG2
Vescimonas_fastidiosa	2.563911941	CAG4
Intestinimonas_butyriciproducens	0.368256214	CAG1
Herbinix_luporum	0.144501288	CAG4
Wujia_chipingensis	0.40946865	CAG3
Coprococcus_catus	0.142955101	CAG2
Anaeromassilibacillus_senegalensis	0.2047739	CAG8
Metalysinibacillus_jejuensis	0.735522425	CAG2
Blautia_faecis	0.285915266	CAG2
Provencibacterium_massiliense	0.1220127	CAG5
Bilophila_wadsworthia	0.14347812	CAG4
Lawsonibacter_asaccharolyticus	0.135354405	CAG4
Pseudoruminococcus_massiliensis	0.928161339	CAG5
Phocaeicola_coprocola	0.493757795	CAG4
Petrocella_atlantisensis	0.130743046	CAG4
Alistipes_onderdonkii	1.022698372	CAG4
Yeguia_hominis	0.205225032	CAG5
Blautia_intestinalis	0.129311687	CAG6
Gehongia_tenuis	0.918085827	CAG1
Eubacterium_ventriosum	0.154513457	CAG2
Coprococcus_comes	0.298416706	CAG3
Marseillibacter_massiliensis	1.412741449	CAG5
Bacteroides_intestinalis	0.131949685	CAG3
Bacteroides_kribbi	0.186808361	CAG3
Sutterella_wadsworthensis	0.231562711	CAG4
Gemmiger_gallinarum	0.883957883	CAG8
Roseburia_intestinalis	0.479637177	CAG3
Alistipes_putredinis	1.515760105	CAG4
Dorea_phocaeensis	0.185114177	CAG6
Massilioclostridium_coli	0.710585692	CAG1
Paramuribaculum_intestinale	0.142109603	CAG5
Tepidibaculum_saccharolyticum	0.421383436	CAG5
Luoshenia_tenuis	0.288102274	CAG4
Hydrogeniiclostidium_mannosilyticum	0.132950253	CAG5
Clostridium_transplantifaecale	0.128140292	CAG2
Neglectibacter_timonensis	0.367240548	CAG5
Blautia_provencensis	0.882273475	CAG7
